Id,Label,timeset,indegree,outdegree,degree,modularity_class
188,188,,73,44,117,9
189,189,,72,33,105,78
190,190,,107,22,129,77
191,191,,45,66,111,9
192,192,,78,45,123,18
193,193,,11,121,132,3
194,194,,63,59,122,18
195,195,,66,58,124,6
196,196,,72,42,114,19
197,197,,43,81,124,18
198,198,,65,70,135,16
199,199,,35,49,84,18
200,200,,68,52,120,4
201,201,,41,48,89,9
202,202,,68,45,113,4
203,203,,24,68,92,4
204,204,,49,63,112,6
205,205,,32,76,108,18
206,206,,7,96,103,4
207,207,,12,81,93,4
208,208,,40,71,111,3
209,209,,28,84,112,14
210,210,,64,35,99,19
211,211,,93,26,119,27
212,212,,44,81,125,3
213,213,,47,51,98,9
214,214,,42,61,103,0
215,215,,23,87,110,78
216,216,,33,64,97,3
217,217,,65,47,112,105
218,218,,32,81,113,4
219,219,,55,46,101,5
220,220,,66,40,106,94
221,221,,26,86,112,8
222,222,,67,41,108,94
223,223,,57,48,105,33
224,224,,30,78,108,78
225,225,,23,59,82,9
226,226,,43,39,82,27
227,227,,59,46,105,1
228,228,,36,63,99,18
229,229,,71,31,102,3
230,230,,28,72,100,33
231,231,,42,43,85,22
232,232,,56,49,105,94
233,233,,59,55,114,5
234,234,,60,45,105,78
235,235,,82,26,108,3
236,236,,24,56,80,3
237,237,,36,65,101,10
238,238,,54,43,97,4
239,239,,32,37,69,18
240,240,,25,76,101,3
241,241,,53,30,83,18
242,242,,66,24,90,105
243,243,,34,69,103,105
244,244,,35,59,94,5
245,245,,35,64,99,4
246,246,,29,59,88,22
247,247,,35,71,106,5
248,248,,22,70,92,4
249,249,,47,52,99,5
250,250,,6,88,94,8
251,251,,32,60,92,18
252,252,,73,15,88,18
253,253,,18,83,101,105
254,254,,41,49,90,1
255,255,,30,59,89,7
256,256,,28,56,84,3
257,257,,40,47,87,4
258,258,,19,27,46,1
259,259,,32,57,89,5
260,260,,27,54,81,33
261,261,,32,26,58,3
262,262,,67,27,94,94
263,263,,45,51,96,9
264,264,,48,48,96,3
265,265,,68,8,76,9
266,266,,71,35,106,1
267,267,,34,46,80,4
268,268,,51,39,90,77
269,269,,30,61,91,8
270,270,,46,44,90,7
271,271,,31,47,78,22
272,272,,57,40,97,9
273,273,,12,76,88,8
274,274,,29,49,78,4
275,275,,48,45,93,9
276,276,,55,36,91,5
277,277,,33,65,98,27
278,278,,25,54,79,14
279,279,,59,22,81,3
280,280,,67,35,102,1
281,281,,21,64,85,18
282,282,,47,25,72,24
283,283,,9,70,79,3
284,284,,62,23,85,4
285,285,,35,46,81,77
286,286,,35,42,77,4
287,287,,72,18,90,5
288,288,,12,24,36,22
289,289,,37,51,88,77
290,290,,62,29,91,16
291,291,,59,35,94,4
292,292,,26,49,75,22
293,293,,34,48,82,5
294,294,,27,42,69,9
295,295,,23,60,83,94
296,296,,56,37,93,105
297,297,,47,29,76,18
298,298,,50,22,72,8
299,299,,34,41,75,5
300,300,,22,55,77,33
301,301,,36,38,74,3
302,302,,30,57,87,8
303,303,,17,22,39,5
304,304,,28,55,83,94
305,305,,62,29,91,1
306,306,,29,26,55,22
307,307,,17,57,74,18
308,308,,12,61,73,7
309,309,,23,48,71,18
310,310,,42,47,89,34
311,311,,44,38,82,8
312,312,,50,28,78,3
313,313,,48,36,84,33
314,314,,31,36,67,3
315,315,,36,48,84,94
316,316,,31,42,73,4
317,317,,41,47,88,1
318,318,,9,29,38,14
319,319,,49,30,79,18
320,320,,34,38,72,9
321,321,,29,51,80,94
322,322,,24,43,67,6
323,323,,54,27,81,9
324,324,,29,39,68,18
325,325,,45,32,77,9
326,326,,44,31,75,18
327,327,,39,37,76,18
328,328,,25,38,63,5
329,329,,34,46,80,3
330,330,,19,52,71,18
331,331,,41,42,83,18
332,332,,15,63,78,5
333,333,,36,35,71,9
334,334,,18,44,62,1
335,335,,53,20,73,33
336,336,,52,27,79,1
337,337,,19,31,50,2
338,338,,22,33,55,1
339,339,,45,23,68,7
340,340,,55,10,65,7
341,341,,22,41,63,18
342,342,,26,25,51,5
343,343,,34,34,68,6
344,344,,21,44,65,1
345,345,,35,38,73,8
346,346,,22,23,45,9
347,347,,29,36,65,5
348,348,,38,34,72,4
349,349,,25,50,75,27
350,350,,31,21,52,16
351,351,,18,57,75,19
352,352,,37,38,75,1
353,353,,45,18,63,3
354,354,,11,63,74,4
355,355,,40,19,59,5
356,356,,28,51,79,1
357,357,,13,50,63,5
358,358,,21,42,63,3
359,359,,18,52,70,18
360,360,,43,20,63,14
361,361,,28,48,76,4
362,362,,14,56,70,27
363,363,,35,31,66,8
364,364,,45,18,63,7
365,365,,61,6,67,3
366,366,,33,44,77,3
367,367,,33,33,66,3
368,368,,38,32,70,9
369,369,,21,44,65,3
370,370,,28,43,71,105
371,371,,27,40,67,3
372,372,,38,22,60,3
373,373,,19,46,65,8
374,374,,7,53,60,0
375,375,,21,25,46,4
376,376,,29,31,60,22
377,377,,28,34,62,4
378,378,,40,31,71,1
379,379,,8,58,66,14
380,380,,24,33,57,24
381,381,,30,39,69,4
382,382,,45,20,65,4
383,383,,26,36,62,77
384,384,,22,37,59,3
385,385,,18,39,57,7
386,386,,33,36,69,5
387,387,,19,44,63,27
388,388,,26,33,59,3
389,389,,20,47,67,16
390,390,,27,39,66,32
391,391,,27,33,60,16
392,392,,61,8,69,4
393,393,,26,44,70,3
394,394,,32,28,60,16
395,395,,22,30,52,5
396,396,,30,35,65,4
397,397,,24,29,53,77
398,398,,9,47,56,14
399,399,,40,18,58,8
400,400,,31,26,57,4
401,401,,38,10,48,22
402,402,,10,22,32,78
403,403,,24,38,62,94
404,404,,25,27,52,77
405,405,,28,24,52,33
406,406,,41,27,68,14
407,407,,8,54,62,24
408,408,,21,33,54,1
409,409,,47,8,55,105
410,410,,20,32,52,4
411,411,,36,24,60,1
412,412,,2,58,60,4
413,413,,12,47,59,18
414,414,,13,31,44,4
415,415,,25,27,52,105
416,416,,9,42,51,4
417,417,,8,49,57,7
418,418,,17,37,54,8
419,419,,18,34,52,4
420,420,,15,36,51,18
421,421,,12,42,54,22
422,422,,26,29,55,94
423,423,,22,32,54,5
424,424,,44,18,62,94
425,425,,21,36,57,105
426,426,,35,20,55,18
427,427,,30,34,64,8
428,428,,20,35,55,7
429,429,,16,27,43,4
430,430,,13,44,57,3
431,431,,24,18,42,9
432,432,,8,30,38,3
433,433,,34,5,39,5
434,434,,21,34,55,18
435,435,,21,34,55,3
436,436,,33,24,57,1
437,437,,35,20,55,3
438,438,,35,18,53,16
439,439,,13,24,37,4
440,440,,24,34,58,22
441,441,,38,15,53,3
442,442,,18,36,54,4
443,443,,16,27,43,77
444,444,,13,42,55,27
445,445,,16,29,45,7
446,446,,24,34,58,6
447,447,,29,27,56,4
448,448,,32,14,46,5
449,449,,22,41,63,4
450,450,,39,16,55,57
451,451,,14,44,58,3
452,452,,20,40,60,14
453,453,,11,42,53,33
454,454,,27,31,58,3
455,455,,23,29,52,4
456,456,,6,52,58,14
457,457,,31,26,57,34
458,458,,37,22,59,5
459,459,,35,18,53,94
460,460,,20,17,37,22
461,461,,18,33,51,5
462,462,,18,36,54,3
463,463,,33,17,50,3
464,464,,23,36,59,1
465,465,,27,26,53,3
466,466,,15,27,42,27
467,467,,34,18,52,18
468,468,,16,32,48,82
469,469,,20,30,50,5
470,470,,41,11,52,5
471,471,,33,20,53,19
472,472,,23,20,43,3
473,473,,30,23,53,18
474,474,,14,38,52,3
475,475,,24,33,57,14
476,476,,23,24,47,18
477,477,,15,26,41,4
478,478,,11,36,47,1
479,479,,5,43,48,9
480,480,,39,11,50,14
481,481,,27,11,38,94
482,482,,36,16,52,5
483,483,,18,37,55,5
484,484,,20,36,56,4
485,485,,23,28,51,3
486,486,,9,33,42,78
487,487,,23,26,49,5
488,488,,3,46,49,3
489,489,,8,32,40,9
490,490,,9,41,50,4
491,491,,26,18,44,8
492,492,,21,13,34,22
493,493,,10,37,47,10
494,494,,22,24,46,5
495,495,,17,29,46,105
496,496,,14,29,43,4
497,497,,24,16,40,3
498,498,,15,27,42,18
499,499,,16,28,44,5
500,500,,18,20,38,3
501,501,,27,17,44,27
502,502,,22,25,47,8
503,503,,12,25,37,3
504,504,,14,24,38,27
505,505,,16,36,52,3
506,506,,23,30,53,5
507,507,,14,37,51,8
508,508,,30,14,44,94
509,509,,14,31,45,3
510,510,,16,32,48,4
511,511,,35,5,40,32
512,512,,24,17,41,7
513,513,,9,24,33,94
514,514,,14,27,41,77
515,515,,21,20,41,5
516,516,,19,25,44,22
517,517,,19,29,48,3
518,518,,26,19,45,19
519,519,,10,34,44,4
520,520,,17,22,39,4
521,521,,13,15,28,9
522,522,,21,25,46,1
523,523,,29,23,52,4
524,524,,17,17,34,9
525,525,,33,18,51,1
526,526,,22,28,50,7
527,527,,19,28,47,0
528,528,,13,22,35,4
529,529,,20,29,49,16
530,530,,25,26,51,32
531,531,,19,28,47,9
532,532,,21,30,51,3
533,533,,24,22,46,14
534,534,,35,11,46,1
535,535,,22,25,47,6
536,536,,41,7,48,14
537,537,,11,35,46,3
538,538,,9,36,45,3
539,539,,13,26,39,77
540,540,,12,36,48,105
541,541,,5,32,37,32
542,542,,30,19,49,14
543,543,,16,18,34,4
544,544,,27,13,40,8
545,545,,9,32,41,77
546,546,,30,13,43,3
547,547,,24,15,39,3
548,548,,20,17,37,5
549,549,,9,35,44,34
550,550,,2,32,34,4
551,551,,18,27,45,3
552,552,,10,33,43,14
553,553,,15,21,36,8
554,554,,14,25,39,9
555,555,,12,8,20,105
556,556,,12,31,43,22
557,557,,11,27,38,7
558,558,,20,18,38,77
559,559,,31,9,40,78
560,560,,11,26,37,3
561,561,,26,11,37,24
562,562,,23,11,34,78
563,563,,24,20,44,24
564,564,,15,25,40,4
565,565,,22,24,46,16
566,566,,15,20,35,6
567,567,,18,16,34,4
568,568,,23,17,40,18
569,569,,14,30,44,4
570,570,,16,22,38,3
571,571,,9,37,46,1
572,572,,13,25,38,9
573,573,,22,19,41,22
574,574,,11,25,36,4
575,575,,18,26,44,33
576,576,,8,31,39,5
577,577,,5,29,34,3
578,578,,26,17,43,14
579,579,,17,26,43,16
580,580,,19,21,40,5
581,581,,22,16,38,7
582,582,,34,6,40,8
583,583,,25,14,39,105
584,584,,9,31,40,18
585,585,,15,17,32,3
586,586,,35,5,40,27
587,587,,19,21,40,3
588,588,,9,5,14,27
589,589,,33,4,37,1
590,590,,17,19,36,16
591,591,,9,27,36,18
592,592,,18,22,40,22
593,593,,10,23,33,77
594,594,,19,21,40,32
595,595,,16,26,42,5
596,596,,7,7,14,3
597,597,,17,22,39,1
598,598,,19,24,43,4
599,599,,19,18,37,94
600,600,,10,33,43,4
601,601,,18,25,43,105
602,602,,21,12,33,22
603,603,,21,11,32,5
604,604,,16,21,37,105
605,605,,12,27,39,57
606,606,,19,17,36,18
607,607,,28,12,40,3
608,608,,10,12,22,22
609,609,,6,31,37,7
610,610,,18,18,36,3
611,611,,6,23,29,18
612,612,,14,20,34,3
613,613,,32,4,36,4
614,614,,20,21,41,5
615,615,,20,16,36,5
616,616,,20,16,36,9
617,617,,26,8,34,94
618,618,,2,34,36,18
619,619,,12,18,30,8
620,620,,10,27,37,3
621,621,,24,17,41,4
622,622,,16,18,34,18
623,623,,28,11,39,16
624,624,,18,19,37,3
625,625,,28,7,35,5
626,626,,10,16,26,4
627,627,,10,25,35,7
628,628,,31,4,35,105
629,629,,21,16,37,24
630,630,,18,14,32,3
631,631,,11,22,33,105
632,632,,11,27,38,94
633,633,,12,13,25,16
634,634,,22,17,39,5
635,635,,5,33,38,18
636,636,,14,20,34,4
637,637,,15,20,35,5
638,638,,10,17,27,18
639,639,,9,19,28,1
640,640,,7,31,38,5
641,641,,13,19,32,16
642,642,,18,7,25,3
643,643,,23,16,39,22
644,644,,23,13,36,19
645,645,,18,18,36,5
646,646,,22,17,39,105
647,647,,19,18,37,3
648,648,,14,18,32,24
649,649,,7,23,30,22
650,650,,12,18,30,5
651,651,,14,18,32,4
652,652,,21,15,36,6
653,653,,17,16,33,3
654,654,,7,27,34,14
655,655,,9,27,36,4
656,656,,12,21,33,3
657,657,,8,21,29,4
658,658,,0,32,32,9
659,659,,15,22,37,3
660,660,,9,19,28,18
661,661,,11,18,29,1
662,662,,14,10,24,1
663,663,,12,18,30,8
664,664,,8,23,31,33
665,665,,6,11,17,10
666,666,,0,34,34,9
667,667,,15,13,28,3
668,668,,4,26,30,32
669,669,,27,5,32,14
670,670,,17,12,29,8
671,671,,13,14,27,5
672,672,,18,20,38,3
673,673,,3,26,29,9
674,674,,20,10,30,7
675,675,,8,19,27,3
676,676,,19,16,35,9
677,677,,10,18,28,18
678,678,,14,19,33,5
679,679,,10,26,36,33
680,680,,8,27,35,18
681,681,,10,13,23,3
682,682,,17,20,37,3
683,683,,8,21,29,18
684,684,,8,19,27,3
685,685,,16,19,35,16
686,686,,11,17,28,94
687,687,,13,9,22,10
688,688,,21,10,31,22
689,689,,4,24,28,6
690,690,,14,7,21,7
691,691,,20,15,35,3
692,692,,12,19,31,94
693,693,,15,16,31,78
694,694,,9,13,22,5
695,695,,15,18,33,105
696,696,,24,5,29,32
697,697,,10,18,28,3
698,698,,12,18,30,3
699,699,,20,13,33,9
700,700,,8,9,17,2
701,701,,14,16,30,4
702,702,,6,26,32,18
703,703,,12,8,20,18
704,704,,8,26,34,5
705,705,,19,12,31,0
706,706,,14,21,35,3
707,707,,2,30,32,18
708,708,,3,23,26,18
709,709,,13,20,33,3
710,710,,17,18,35,16
711,711,,16,15,31,4
712,712,,14,19,33,1
713,713,,28,2,30,94
714,714,,2,27,29,5
715,715,,11,19,30,9
716,716,,17,16,33,4
717,717,,23,10,33,7
718,718,,20,8,28,4
719,719,,13,21,34,105
720,720,,21,12,33,1
721,721,,7,19,26,4
722,722,,18,10,28,5
723,723,,25,9,34,33
724,724,,15,15,30,1
725,725,,9,23,32,3
726,726,,10,19,29,1
727,727,,7,26,33,77
728,728,,12,22,34,3
729,729,,7,11,18,5
730,730,,15,15,30,94
731,731,,14,13,27,32
732,732,,10,18,28,3
733,733,,19,9,28,24
734,734,,11,19,30,3
735,735,,8,23,31,7
736,736,,15,14,29,4
737,737,,10,20,30,94
738,738,,11,12,23,5
739,739,,13,20,33,33
740,740,,16,15,31,1
741,741,,23,8,31,3
742,742,,12,15,27,9
743,743,,22,11,33,4
744,744,,7,21,28,14
745,745,,9,20,29,14
746,746,,12,12,24,18
747,747,,6,25,31,1
748,748,,17,15,32,7
749,749,,1,25,26,4
750,750,,17,11,28,33
751,751,,23,3,26,32
752,752,,3,25,28,3
753,753,,10,15,25,4
754,754,,5,24,29,3
755,755,,25,3,28,10
756,756,,6,11,17,78
757,757,,8,14,22,94
758,758,,13,19,32,18
759,759,,10,21,31,4
760,760,,5,12,17,33
761,761,,15,16,31,5
762,762,,1,28,29,3
763,763,,12,16,28,8
764,764,,9,15,24,14
765,765,,14,11,25,77
766,766,,10,17,27,39
767,767,,15,15,30,4
768,768,,12,19,31,18
769,769,,22,9,31,5
770,770,,8,7,15,14
771,771,,11,18,29,9
772,772,,12,14,26,18
773,773,,9,17,26,7
774,774,,11,20,31,5
775,775,,9,20,29,3
776,776,,13,15,28,4
777,777,,14,6,20,27
778,778,,9,19,28,6
779,779,,5,23,28,16
780,780,,10,19,29,3
781,781,,7,20,27,94
782,782,,9,20,29,77
783,783,,7,20,27,7
784,784,,14,10,24,1
785,785,,5,12,17,4
786,786,,4,20,24,7
787,787,,14,15,29,1
788,788,,23,6,29,8
789,789,,13,14,27,18
790,790,,7,9,16,78
791,791,,7,14,21,16
792,792,,1,12,13,22
793,793,,1,1,2,22
794,794,,9,16,25,9
795,795,,4,20,24,4
796,796,,18,10,28,6
797,797,,12,14,26,18
798,798,,18,7,25,82
799,799,,8,20,28,18
800,800,,5,22,27,18
801,801,,10,18,28,5
802,802,,15,8,23,7
803,803,,17,7,24,22
804,804,,19,7,26,16
805,805,,8,17,25,18
806,806,,15,14,29,7
807,807,,7,18,25,18
808,808,,16,10,26,4
809,809,,4,15,19,4
810,810,,17,8,25,18
811,811,,19,4,23,3
812,812,,5,12,17,105
813,813,,4,21,25,0
814,814,,16,13,29,105
815,815,,8,18,26,5
816,816,,9,3,12,22
817,817,,9,16,25,16
818,818,,11,11,22,22
819,819,,10,19,29,4
820,820,,6,15,21,105
821,821,,22,6,28,77
822,822,,16,11,27,74
823,823,,17,8,25,32
824,824,,19,9,28,4
825,825,,9,8,17,27
826,826,,10,17,27,9
827,827,,11,11,22,4
828,828,,3,0,3,8
829,829,,19,2,21,1
830,830,,9,19,28,1
831,831,,13,10,23,8
832,832,,14,14,28,14
833,833,,3,22,25,4
834,834,,6,7,13,7
835,835,,11,13,24,18
836,836,,13,15,28,4
837,837,,9,11,20,4
838,838,,4,21,25,7
839,839,,8,13,21,3
840,840,,10,13,23,105
841,841,,5,21,26,105
842,842,,11,11,22,9
843,843,,18,6,24,22
844,844,,12,9,21,22
845,845,,9,16,25,27
846,846,,8,16,24,3
847,847,,4,7,11,105
848,848,,17,9,26,5
849,849,,12,15,27,3
850,850,,12,10,22,4
851,851,,6,20,26,32
852,852,,11,12,23,4
853,853,,7,11,18,105
854,854,,8,13,21,105
855,855,,7,15,22,5
856,856,,15,8,23,7
857,857,,8,15,23,5
858,858,,19,6,25,3
859,859,,5,17,22,8
860,860,,13,12,25,24
861,861,,7,19,26,18
862,862,,6,20,26,105
863,863,,19,6,25,33
864,864,,10,6,16,4
865,865,,1,8,9,9
866,866,,8,10,18,9
867,867,,1,25,26,4
868,868,,12,7,19,8
869,869,,3,5,8,4
870,870,,9,11,20,4
871,871,,14,12,26,3
872,872,,0,21,21,9
873,873,,3,19,22,6
874,874,,19,7,26,5
875,875,,0,18,18,18
876,876,,16,7,23,3
877,877,,7,7,14,33
878,878,,14,8,22,19
879,879,,17,9,26,3
880,880,,18,8,26,77
881,881,,7,13,20,3
882,882,,12,10,22,3
883,883,,10,15,25,22
884,884,,3,20,23,6
885,885,,2,19,21,78
886,886,,0,0,0,11
887,887,,16,5,21,0
888,888,,8,10,18,3
889,889,,9,10,19,77
890,890,,7,13,20,5
891,891,,14,12,26,105
892,892,,11,13,24,3
893,893,,11,12,23,94
894,894,,5,11,16,3
895,895,,6,15,21,22
896,896,,18,6,24,5
897,897,,10,13,23,0
898,898,,11,14,25,78
899,899,,12,13,25,94
900,900,,18,8,26,1
901,901,,13,12,25,105
902,902,,13,9,22,33
903,903,,17,5,22,4
904,904,,19,7,26,8
905,905,,0,23,23,1
906,906,,11,15,26,1
907,907,,0,24,24,5
908,908,,11,14,25,16
909,909,,1,16,17,18
910,910,,15,8,23,9
911,911,,4,11,15,4
912,912,,13,5,18,4
913,913,,5,10,15,22
914,914,,10,4,14,39
915,915,,3,22,25,4
916,916,,10,4,14,27
917,917,,10,10,20,5
918,918,,17,5,22,1
919,919,,16,3,19,4
920,920,,8,10,18,94
921,921,,13,10,23,33
922,922,,13,11,24,105
923,923,,13,6,19,22
924,924,,11,9,20,7
925,925,,10,12,22,3
926,926,,8,13,21,22
927,927,,12,11,23,18
928,928,,15,6,21,22
929,929,,2,16,18,18
930,930,,12,13,25,4
931,931,,3,21,24,3
932,932,,16,5,21,4
933,933,,8,14,22,4
934,934,,16,9,25,14
935,935,,8,11,19,3
936,936,,7,12,19,3
937,937,,15,8,23,16
938,938,,8,11,19,4
939,939,,8,13,21,5
940,940,,10,12,22,3
941,941,,4,15,19,33
942,942,,10,11,21,4
943,943,,14,6,20,78
944,944,,9,15,24,77
945,945,,14,5,19,22
946,946,,10,9,19,14
947,947,,9,5,14,105
948,948,,12,8,20,33
949,949,,6,16,22,3
950,950,,7,17,24,14
951,951,,13,11,24,19
952,952,,9,15,24,4
953,953,,7,6,13,2
954,954,,9,14,23,14
955,955,,13,8,21,10
956,956,,1,18,19,94
957,957,,5,12,17,4
958,958,,1,14,15,4
959,959,,8,15,23,18
960,960,,10,8,18,4
961,961,,7,13,20,8
962,962,,11,11,22,94
963,963,,13,7,20,9
964,964,,4,12,16,18
965,965,,7,8,15,22
966,966,,12,11,23,94
967,967,,8,15,23,14
968,968,,9,11,20,3
969,969,,13,11,24,3
970,970,,12,12,24,27
971,971,,7,17,24,3
972,972,,6,2,8,6
973,973,,6,11,17,19
974,974,,5,14,19,7
975,975,,9,11,20,3
976,976,,8,9,17,2
977,977,,5,11,16,9
978,978,,11,5,16,1
979,979,,5,15,20,33
980,980,,9,12,21,105
981,981,,1,14,15,78
982,982,,14,9,23,5
983,983,,9,12,21,22
984,984,,8,10,18,22
985,985,,13,8,21,32
986,986,,10,8,18,105
987,987,,10,13,23,5
988,988,,4,17,21,22
989,989,,10,10,20,34
990,990,,10,13,23,5
991,991,,8,11,19,9
992,992,,9,14,23,27
993,993,,14,9,23,0
994,994,,10,13,23,3
995,995,,9,10,19,0
996,996,,6,15,21,4
997,997,,9,13,22,22
998,998,,13,10,23,78
999,999,,9,13,22,3
1000,1000,,14,8,22,4
1001,1001,,15,4,19,82
1002,1002,,12,9,21,4
1003,1003,,5,12,17,22
1004,1004,,8,8,16,4
1005,1005,,13,10,23,1
1006,1006,,12,5,17,18
1007,1007,,3,20,23,3
1008,1008,,0,2,2,94
1009,1009,,9,14,23,3
1010,1010,,12,8,20,19
1011,1011,,10,13,23,1
1012,1012,,8,12,20,7
1013,1013,,6,12,18,3
1014,1014,,12,9,21,4
1015,1015,,8,6,14,3
1016,1016,,13,6,19,22
1017,1017,,16,5,21,33
1018,1018,,7,15,22,14
1019,1019,,13,5,18,5
1020,1020,,8,14,22,3
1021,1021,,8,11,19,9
1022,1022,,15,3,18,27
1023,1023,,6,11,17,105
1024,1024,,9,11,20,4
1025,1025,,6,13,19,1
1026,1026,,13,5,18,3
1027,1027,,11,8,19,33
1028,1028,,5,9,14,94
1029,1029,,15,5,20,3
1030,1030,,9,8,17,8
1031,1031,,9,12,21,22
1032,1032,,7,15,22,22
1033,1033,,6,10,16,32
1034,1034,,4,14,18,9
1035,1035,,16,5,21,3
1036,1036,,2,18,20,3
1037,1037,,2,16,18,3
1038,1038,,10,10,20,18
1039,1039,,10,10,20,3
1040,1040,,14,4,18,1
1041,1041,,10,11,21,3
1042,1042,,6,15,21,24
1043,1043,,5,8,13,22
1044,1044,,14,6,20,32
1045,1045,,9,9,18,0
1046,1046,,8,9,17,33
1047,1047,,10,5,15,4
1048,1048,,5,11,16,3
1049,1049,,9,11,20,3
1050,1050,,4,15,19,6
1051,1051,,12,8,20,4
1052,1052,,3,9,12,4
1053,1053,,5,13,18,18
1054,1054,,14,7,21,33
1055,1055,,6,12,18,14
1056,1056,,5,8,13,9
1057,1057,,1,8,9,18
1058,1058,,2,11,13,7
1059,1059,,8,11,19,77
