Id,Label,timeset,modularity_class,indegree,outdegree,degree
138,138,,8,92,144,236
139,139,,45,86,64,150
140,140,,45,12,11,23
141,141,,23,11,5,16
142,142,,23,371,310,681
143,143,,23,51,50,101
144,144,,23,143,251,394
145,145,,14,1131,798,1929
146,146,,105,2,3,5
147,147,,105,1,0,1
148,148,,0,31,35,66
149,149,,0,11,6,17
150,150,,8,130,77,207
151,151,,8,100,46,146
152,152,,8,1,2,3
153,153,,8,5,12,17
154,154,,8,15,17,32
155,155,,8,0,1,1
156,156,,23,9,26,35
157,157,,23,1002,1269,2271
158,158,,8,457,541,998
159,159,,120,56,265,321
160,160,,120,2,2,4
161,161,,43,295,380,675
162,162,,43,24,67,91
163,163,,3,723,609,1332
164,164,,3,260,325,585
165,165,,3,41,27,68
166,166,,23,145,189,334
167,167,,23,23,14,37
168,168,,23,64,84,148
169,169,,23,27,13,40
170,170,,43,399,319,718
171,171,,0,196,224,420
172,172,,0,909,1054,1963
173,173,,0,6,45,51
174,174,,31,73,38,111
175,175,,5,13,105,118
176,176,,5,104,33,137
177,177,,23,215,352,567
178,178,,23,75,123,198
179,179,,6,405,259,664
180,180,,24,2,6,8
181,181,,24,1,0,1
182,182,,8,935,865,1800
183,183,,8,186,89,275
184,184,,8,21,51,72
185,185,,8,15,3,18
186,186,,8,5,3,8
187,187,,31,1463,801,2264
188,188,,31,19,10,29
189,189,,43,267,233,500
190,190,,0,215,289,504
191,191,,0,3342,782,4124
192,192,,23,0,1,1
193,193,,23,2,1,3
194,194,,8,7,3,10
195,195,,8,0,4,4
196,196,,8,31,13,44
197,197,,0,16,72,88
198,198,,0,673,461,1134
199,199,,0,487,365,852
200,200,,0,6,116,122
201,201,,0,765,401,1166
202,202,,45,0,3,3
203,203,,45,11,8,19
204,204,,45,15,31,46
205,205,,45,2,3,5
206,206,,8,4,8,12
207,207,,8,329,101,430
208,208,,8,6,4,10
209,209,,8,1,9,10
210,210,,23,64,263,327
211,211,,43,5,6,11
212,212,,21,3,3,6
213,213,,43,12,13,25
214,214,,43,194,169,363
215,215,,23,9,9,18
216,216,,23,146,48,194
217,217,,23,0,1,1
218,218,,23,22,37,59
219,219,,23,1954,1878,3832
220,220,,8,335,128,463
221,221,,23,761,1149,1910
222,222,,0,21,20,41
223,223,,0,20,21,41
224,224,,23,152,138,290
225,225,,23,36,14,50
226,226,,8,20,10,30
227,227,,8,4,0,4
228,228,,8,77,96,173
229,229,,8,140,116,256
230,230,,31,122,225,347
231,231,,127,9,8,17
232,232,,52,11,18,29
233,233,,52,5,24,29
234,234,,52,632,220,852
235,235,,105,279,128,407
236,236,,23,117,194,311
237,237,,127,64,51,115
238,238,,23,234,441,675
239,239,,23,68,69,137
240,240,,23,1236,737,1973
241,241,,23,15,51,66
242,242,,23,44,28,72
243,243,,8,17,17,34
244,244,,8,7,3,10
245,245,,8,59,31,90
246,246,,8,27,11,38
247,247,,8,49,35,84
248,248,,8,131,55,186
249,249,,31,37,40,77
250,250,,31,104,79,183
251,251,,0,212,343,555
252,252,,23,500,130,630
253,253,,23,29,33,62
254,254,,15,115,171,286
255,255,,18,80,143,223
256,256,,23,102,151,253
257,257,,23,8,7,15
258,258,,23,1143,552,1695
259,259,,23,88,178,266
260,260,,23,2414,2448,4862
261,261,,23,41,158,199
262,262,,14,796,600,1396
263,263,,14,159,85,244
264,264,,21,83,57,140
265,265,,21,764,563,1327
266,266,,15,459,275,734
267,267,,127,3,2,5
268,268,,127,7,3,10
269,269,,45,3,3,6
270,270,,45,69,47,116
271,271,,111,72,112,184
272,272,,111,114,45,159
273,273,,127,0,1,1
274,274,,127,43,5,48
275,275,,43,39,35,74
276,276,,0,2,15,17
277,277,,0,2,0,2
278,278,,23,117,328,445
279,279,,43,253,230,483
280,280,,43,918,555,1473
281,281,,43,3,6,9
282,282,,43,28,15,43
283,283,,43,11,15,26
284,284,,0,5,69,74
285,285,,23,518,215,733
286,286,,0,82,105,187
287,287,,23,269,372,641
288,288,,3,28,35,63
289,289,,127,72,19,91
290,290,,8,33,60,93
291,291,,8,2,0,2
292,292,,3,70,146,216
293,293,,127,43,54,97
294,294,,23,53,148,201
295,295,,45,45,63,108
296,296,,45,140,60,200
297,297,,23,59,113,172
298,298,,43,651,1081,1732
299,299,,23,129,123,252
300,300,,23,932,1152,2084
301,301,,52,84,199,283
302,302,,8,82,168,250
303,303,,8,114,12,126
304,304,,23,5,7,12
305,305,,23,26,76,102
306,306,,23,1103,1458,2561
307,307,,0,367,286,653
308,308,,3,159,29,188
309,309,,0,83,15,98
310,310,,0,21,28,49
311,311,,43,221,160,381
312,312,,23,0,24,24
313,313,,111,297,192,489
314,314,,0,2,8,10
315,315,,0,10,4,14
316,316,,0,97,44,141
317,317,,43,39,47,86
318,318,,23,34,6,40
319,319,,88,282,302,584
320,320,,88,41,54,95
321,321,,23,724,528,1252
322,322,,23,379,318,697
323,323,,0,5,7,12
324,324,,0,96,58,154
325,325,,52,64,19,83
326,326,,52,5,10,15
327,327,,52,57,103,160
328,328,,76,11,20,31
329,329,,76,295,84,379
330,330,,8,7,5,12
331,331,,8,65,102,167
332,332,,88,15,23,38
333,333,,88,4,0,4
334,334,,23,314,154,468
335,335,,8,16,20,36
336,336,,8,172,67,239
337,337,,8,0,11,11
338,338,,23,46,40,86
339,339,,0,712,367,1079
340,340,,0,3,1,4
341,341,,0,19,22,41
342,342,,88,82,120,202
343,343,,88,83,93,176
344,344,,105,35,87,122
345,345,,23,494,640,1134
346,346,,105,6,7,13
347,347,,0,93,162,255
348,348,,0,79,124,203
349,349,,8,225,139,364
350,350,,8,89,38,127
351,351,,21,1,1,2
352,352,,21,39,60,99
353,353,,21,148,290,438
354,354,,21,42,43,85
355,355,,88,7,19,26
356,356,,14,328,183,511
357,357,,14,7,2,9
358,358,,14,131,383,514
359,359,,14,0,1,1
360,360,,14,55,87,142
361,361,,14,10,16,26
362,362,,14,8,7,15
363,363,,21,21,56,77
364,364,,21,2,2,4
365,365,,23,312,243,555
366,366,,127,31,53,84
367,367,,23,691,324,1015
368,368,,45,45,67,112
369,369,,21,2,1,3
370,370,,21,3,3,6
371,371,,0,25,29,54
372,372,,127,3,15,18
373,373,,23,479,576,1055
374,374,,11,446,246,692
375,375,,11,162,298,460
376,376,,43,87,395,482
377,377,,43,9,13,22
378,378,,43,24,34,58
379,379,,43,37,25,62
380,380,,43,205,356,561
381,381,,43,135,209,344
382,382,,43,1180,273,1453
383,383,,23,23,55,78
384,384,,43,19,25,44
385,385,,5,0,3,3
386,386,,3,71,102,173
387,387,,43,412,701,1113
388,388,,23,2,16,18
389,389,,43,7,5,12
390,390,,43,103,44,147
391,391,,43,1025,343,1368
392,392,,43,244,182,426
393,393,,43,20,4,24
394,394,,43,6,14,20
395,395,,43,134,83,217
396,396,,43,208,200,408
397,397,,43,2531,2312,4843
398,398,,76,61,42,103
399,399,,43,122,182,304
400,400,,43,1590,1784,3374
401,401,,43,254,608,862
402,402,,43,43,126,169
403,403,,43,186,171,357
404,404,,43,27,66,93
405,405,,43,386,801,1187
406,406,,43,1235,1892,3127
407,407,,43,318,176,494
408,408,,8,285,149,434
409,409,,43,1,7,8
410,410,,23,13,9,22
411,411,,43,53,105,158
412,412,,43,2,2,4
413,413,,43,130,234,364
414,414,,43,580,560,1140
415,415,,43,225,343,568
416,416,,43,23,40,63
417,417,,43,78,152,230
418,418,,15,2,1,3
419,419,,15,1,0,1
420,420,,11,38,65,103
421,421,,11,2,0,2
422,422,,23,119,138,257
423,423,,23,605,360,965
424,424,,88,221,153,374
425,425,,23,123,171,294
426,426,,88,136,173,309
427,427,,23,195,354,549
428,428,,23,807,629,1436
429,429,,23,379,276,655
430,430,,14,106,194,300
431,431,,21,480,289,769
432,432,,88,1,0,1
433,433,,14,177,75,252
434,434,,14,1,23,24
435,435,,23,221,107,328
436,436,,23,78,66,144
437,437,,127,221,141,362
438,438,,127,165,111,276
439,439,,31,52,163,215
440,440,,31,25,10,35
441,441,,8,31,36,67
442,442,,105,102,134,236
443,443,,43,59,44,103
444,444,,43,99,177,276
445,445,,43,918,1891,2809
446,446,,43,82,8,90
447,447,,23,17,25,42
448,448,,21,41,21,62
449,449,,21,276,177,453
450,450,,21,39,53,92
451,451,,21,524,303,827
452,452,,43,38,39,77
453,453,,43,823,384,1207
454,454,,43,902,662,1564
455,455,,43,1033,1703,2736
456,456,,21,120,188,308
457,457,,21,17,16,33
458,458,,14,455,324,779
459,459,,14,288,208,496
460,460,,8,551,334,885
461,461,,14,23,18,41
462,462,,8,28,57,85
463,463,,14,92,278,370
464,464,,14,48,28,76
465,465,,14,46,19,65
466,466,,14,101,209,310
467,467,,14,33,26,59
468,468,,14,62,87,149
469,469,,127,178,165,343
470,470,,127,217,220,437
471,471,,14,222,75,297
472,472,,23,22,2,24
473,473,,43,144,142,286
474,474,,23,296,281,577
475,475,,120,47,88,135
476,476,,23,38,172,210
477,477,,43,649,472,1121
478,478,,43,1,0,1
479,479,,43,142,278,420
480,480,,43,134,264,398
481,481,,43,15,72,87
482,482,,43,15,18,33
483,483,,43,1,0,1
484,484,,43,0,1,1
485,485,,43,212,100,312
486,486,,23,874,1161,2035
487,487,,88,149,196,345
488,488,,23,28,48,76
489,489,,66,184,106,290
490,490,,23,0,7,7
491,491,,23,96,51,147
492,492,,52,12,31,43
493,493,,52,1,0,1
494,494,,8,87,110,197
495,495,,52,22,34,56
496,496,,23,1,3,4
497,497,,14,6,3,9
498,498,,21,6,20,26
499,499,,0,1,4,5
500,500,,0,29,60,89
501,501,,0,23,40,63
502,502,,0,5,2,7
503,503,,0,6,17,23
504,504,,105,27,20,47
505,505,,23,8,4,12
506,506,,0,1,1,2
507,507,,23,33,33,66
508,508,,23,187,160,347
509,509,,127,49,18,67
510,510,,0,1,14,15
511,511,,23,414,706,1120
512,512,,23,325,542,867
513,513,,23,124,165,289
514,514,,105,289,169,458
515,515,,111,177,272,449
516,516,,111,63,13,76
517,517,,111,7,71,78
518,518,,111,125,81,206
519,519,,111,14,30,44
520,520,,111,92,52,144
521,521,,23,9,16,25
522,522,,111,6,28,34
523,523,,76,126,151,277
524,524,,76,837,600,1437
525,525,,76,15,75,90
526,526,,76,82,27,109
527,527,,111,30,8,38
528,528,,111,49,75,124
529,529,,111,466,277,743
530,530,,23,405,442,847
531,531,,3,0,4,4
532,532,,3,2,0,2
533,533,,3,16,10,26
534,534,,3,216,155,371
535,535,,3,10,23,33
536,536,,3,41,55,96
537,537,,23,348,183,531
538,538,,23,22,23,45
539,539,,88,77,254,331
540,540,,111,2,2,4
541,541,,43,6,19,25
542,542,,105,8,16,24
543,543,,105,1,1,2
544,544,,21,88,185,273
545,545,,21,152,171,323
546,546,,8,82,137,219
547,547,,31,4,10,14
548,548,,31,270,250,520
549,549,,31,19,33,52
550,550,,31,32,49,81
551,551,,31,135,34,169
552,552,,31,57,16,73
553,553,,52,16,23,39
554,554,,52,3,8,11
555,555,,120,26,53,79
556,556,,21,3,20,23
557,557,,21,12,19,31
558,558,,0,21,34,55
559,559,,23,50,70,120
560,560,,15,4,1,5
561,561,,105,24,22,46
562,562,,14,127,22,149
563,563,,14,37,236,273
564,564,,14,196,83,279
565,565,,43,109,469,578
566,566,,43,3,6,9
567,567,,43,10,30,40
568,568,,31,687,256,943
569,569,,8,5,5,10
570,570,,8,15,5,20
571,571,,31,1,10,11
572,572,,23,46,49,95
573,573,,43,206,159,365
574,574,,43,410,413,823
575,575,,52,73,43,116
576,576,,105,80,64,144
577,577,,31,249,171,420
578,578,,31,34,9,43
579,579,,31,243,386,629
580,580,,8,4,2,6
581,581,,8,119,90,209
582,582,,8,13,31,44
583,583,,8,42,41,83
584,584,,0,33,27,60
585,585,,23,92,150,242
586,586,,23,37,40,77
587,587,,43,74,121,195
588,588,,43,223,266,489
589,589,,8,75,279,354
590,590,,8,1,0,1
591,591,,23,46,129,175
592,592,,23,668,506,1174
593,593,,23,41,43,84
594,594,,23,5,23,28
595,595,,23,54,114,168
596,596,,23,213,336,549
597,597,,0,9,40,49
598,598,,18,545,394,939
599,599,,43,29,60,89
600,600,,23,525,437,962
601,601,,23,9,33,42
602,602,,0,2,11,13
603,603,,23,11,7,18
604,604,,0,35,42,77
605,605,,14,10,2,12
606,606,,14,23,54,77
607,607,,14,9,6,15
608,608,,43,147,128,275
609,609,,21,57,67,124
610,610,,23,274,229,503
611,611,,127,177,194,371
612,612,,127,405,308,713
613,613,,43,151,237,388
614,614,,8,16,18,34
615,615,,23,14,9,23
616,616,,31,9,37,46
617,617,,31,0,7,7
618,618,,31,91,136,227
619,619,,31,0,6,6
620,620,,31,21,58,79
621,621,,31,181,298,479
622,622,,31,47,117,164
623,623,,31,2,0,2
624,624,,31,108,88,196
625,625,,31,94,181,275
626,626,,31,113,149,262
627,627,,8,533,259,792
628,628,,105,26,51,77
629,629,,120,54,24,78
630,630,,43,11,73,84
631,631,,0,37,89,126
632,632,,105,8,42,50
633,633,,105,32,24,56
634,634,,23,45,79,124
635,635,,0,55,50,105
636,636,,23,2068,1614,3682
637,637,,31,9,20,29
638,638,,31,7,13,20
639,639,,8,3,2,5
640,640,,8,20,45,65
641,641,,43,181,262,443
642,642,,23,183,480,663
643,643,,105,1,9,10
644,644,,105,10,34,44
645,645,,23,23,8,31
646,646,,6,166,106,272
647,647,,23,580,328,908
648,648,,127,36,26,62
649,649,,127,3,0,3
650,650,,127,0,1,1
651,651,,23,19,5,24
652,652,,23,0,2,2
653,653,,23,3,1,4
654,654,,105,0,1,1
655,655,,105,63,143,206
656,656,,18,389,313,702
657,657,,23,9,6,15
658,658,,31,22,12,34
659,659,,14,4,51,55
660,660,,14,91,34,125
661,661,,8,707,637,1344
662,662,,23,23,258,281
663,663,,23,185,343,528
664,664,,0,294,255,549
665,665,,0,3,7,10
666,666,,23,71,100,171
667,667,,31,1,12,13
668,668,,8,8,2,10
669,669,,14,11,2,13
670,670,,23,18,46,64
671,671,,45,0,1,1
672,672,,45,45,34,79
673,673,,23,4,5,9
674,674,,8,19,10,29
675,675,,31,43,24,67
676,676,,31,3,3,6
677,677,,31,3,1,4
678,678,,111,1,2,3
679,679,,111,28,11,39
680,680,,111,3,3,6
681,681,,111,289,329,618
682,682,,43,53,188,241
683,683,,127,6,18,24
684,684,,127,186,127,313
685,685,,11,25,55,80
686,686,,11,14,10,24
687,687,,11,30,34,64
688,688,,5,1,1,2
689,689,,0,19,9,28
690,690,,18,19,22,41
691,691,,18,36,43,79
692,692,,18,90,155,245
693,693,,31,5,30,35
694,694,,88,368,224,592
695,695,,8,0,4,4
696,696,,23,11,3,14
697,697,,23,13,24,37
698,698,,76,265,214,479
699,699,,8,4,3,7
700,700,,43,9,4,13
701,701,,105,127,126,253
702,702,,0,22,67,89
703,703,,0,16,6,22
704,704,,0,3,47,50
705,705,,23,270,229,499
706,706,,8,24,12,36
707,707,,8,0,9,9
708,708,,21,8,10,18
709,709,,21,49,72,121
710,710,,105,1,11,12
711,711,,23,103,62,165
712,712,,31,25,11,36
713,713,,111,4,15,19
714,714,,31,4,1,5
715,715,,31,20,28,48
716,716,,15,65,63,128
717,717,,105,7,23,30
718,718,,8,25,20,45
719,719,,14,604,447,1051
720,720,,14,16,30,46
721,721,,14,7,1,8
722,722,,23,6,21,27
723,723,,23,12,17,29
724,724,,23,2,0,2
725,725,,0,75,233,308
726,726,,0,1,0,1
727,727,,23,2,2,4
728,728,,88,17,137,154
729,729,,23,763,719,1482
730,730,,8,9,13,22
731,731,,23,10,28,38
732,732,,23,160,11,171
733,733,,31,6,12,18
734,734,,31,102,224,326
735,735,,11,425,159,584
736,736,,11,51,2,53
737,737,,0,4,6,10
738,738,,23,10,26,36
739,739,,23,4,13,17
740,740,,23,67,45,112
741,741,,0,353,257,610
742,742,,8,39,6,45
743,743,,8,20,27,47
744,744,,8,15,11,26
745,745,,8,103,98,201
746,746,,8,63,25,88
747,747,,11,28,13,41
748,748,,127,36,23,59
749,749,,18,53,18,71
750,750,,23,25,26,51
751,751,,45,46,33,79
752,752,,45,8,14,22
753,753,,8,3,19,22
754,754,,8,84,34,118
755,755,,31,0,4,4
756,756,,105,14,28,42
757,757,,0,69,47,116
758,758,,23,21,27,48
759,759,,43,0,5,5
760,760,,8,9,14,23
761,761,,31,2,15,17
762,762,,8,2,8,10
763,763,,105,137,150,287
764,764,,8,0,13,13
765,765,,43,332,907,1239
766,766,,43,26,38,64
767,767,,127,1,6,7
768,768,,15,19,52,71
769,769,,15,404,271,675
770,770,,0,0,33,33
771,771,,0,72,42,114
772,772,,0,2,0,2
773,773,,0,3,80,83
774,774,,0,67,62,129
775,775,,23,51,113,164
776,776,,0,26,19,45
777,777,,23,143,145,288
778,778,,8,11,9,20
779,779,,8,81,44,125
780,780,,8,39,31,70
781,781,,45,116,101,217
782,782,,3,306,214,520
783,783,,76,187,192,379
784,784,,23,231,180,411
785,785,,52,2,18,20
786,786,,23,0,6,6
787,787,,23,687,1169,1856
788,788,,23,93,236,329
789,789,,43,164,448,612
790,790,,43,47,50,97
791,791,,11,85,36,121
792,792,,11,21,9,30
793,793,,11,0,1,1
794,794,,23,35,61,96
795,795,,0,2,7,9
796,796,,0,34,15,49
797,797,,8,0,2,2
798,798,,23,42,114,156
799,799,,23,5,6,11
800,800,,43,11,21,32
801,801,,23,3,7,10
802,802,,23,1640,1476,3116
803,803,,127,3,0,3
804,804,,127,3,10,13
805,805,,21,14,6,20
806,806,,88,65,22,87
807,807,,11,161,77,238
808,808,,11,13,18,31
809,809,,11,13,16,29
810,810,,11,55,49,104
811,811,,23,114,252,366
812,812,,8,5,5,10
813,813,,8,36,9,45
814,814,,8,5,23,28
815,815,,23,50,95,145
816,816,,23,16,24,40
817,817,,0,4,0,4
818,818,,8,3,5,8
819,819,,8,23,29,52
820,820,,31,47,26,73
821,821,,31,31,26,57
822,822,,3,42,20,62
823,823,,3,77,76,153
824,824,,23,12,18,30
825,825,,105,12,21,33
826,826,,105,88,144,232
827,827,,0,18,13,31
828,828,,18,5,6,11
829,829,,18,102,77,179
830,830,,23,0,4,4
831,831,,8,176,61,237
832,832,,8,44,62,106
833,833,,8,77,65,142
834,834,,8,15,21,36
835,835,,8,19,14,33
836,836,,8,5,2,7
837,837,,66,1,2,3
838,838,,23,88,61,149
839,839,,43,577,1144,1721
840,840,,8,5,5,10
841,841,,88,18,7,25
842,842,,0,80,138,218
843,843,,23,80,3,83
844,844,,23,354,196,550
845,845,,23,40,200,240
846,846,,15,4,3,7
847,847,,31,101,91,192
848,848,,23,62,53,115
849,849,,8,374,292,666
850,850,,8,42,71,113
851,851,,8,622,449,1071
852,852,,127,1,2,3
853,853,,8,0,1,1
854,854,,23,1,3,4
855,855,,23,0,1,1
856,856,,21,7,7,14
857,857,,127,2,1,3
858,858,,127,17,8,25
859,859,,1,0,1,1
860,860,,1,1,0,1
861,861,,43,0,1,1
862,862,,111,13,13,26
863,863,,23,24,59,83
864,864,,23,1,4,5
865,865,,23,13,130,143
866,866,,43,103,41,144
867,867,,127,10,3,13
868,868,,127,1,0,1
869,869,,127,4,22,26
870,870,,88,7,5,12
871,871,,88,4,7,11
872,872,,88,28,95,123
873,873,,43,29,111,140
874,874,,11,35,20,55
875,875,,11,5,0,5
876,876,,45,21,5,26
877,877,,45,14,3,17
878,878,,23,58,46,104
879,879,,5,150,26,176
880,880,,127,11,12,23
881,881,,8,23,6,29
882,882,,43,224,392,616
883,883,,23,16,24,40
884,884,,0,67,77,144
885,885,,45,0,1,1
886,886,,43,119,61,180
887,887,,5,107,209,316
888,888,,5,107,37,144
889,889,,23,1,2,3
890,890,,88,1,0,1
891,891,,8,34,35,69
892,892,,8,4,2,6
893,893,,52,14,95,109
894,894,,52,26,56,82
895,895,,52,4,9,13
896,896,,52,1,0,1
897,897,,111,373,192,565
898,898,,111,1,1,2
899,899,,8,7,31,38
900,900,,8,1,2,3
901,901,,8,64,18,82
902,902,,111,4,2,6
903,903,,15,4,0,4
904,904,,3,30,126,156
905,905,,43,7,4,11
906,906,,23,279,531,810
907,907,,8,9,50,59
908,908,,8,0,2,2
909,909,,31,13,28,41
910,910,,23,2,1,3
911,911,,0,166,173,339
912,912,,0,120,85,205
913,913,,21,0,2,2
914,914,,21,19,13,32
915,915,,43,254,462,716
916,916,,43,163,87,250
917,917,,23,28,21,49
918,918,,23,8,3,11
919,919,,23,41,183,224
920,920,,15,81,59,140
921,921,,15,46,78,124
922,922,,15,27,38,65
923,923,,15,4,1,5
924,924,,23,92,142,234
925,925,,8,10,23,33
926,926,,8,4,6,10
927,927,,21,6,6,12
928,928,,52,170,58,228
929,929,,14,5,4,9
930,930,,14,23,12,35
931,931,,23,0,1,1
932,932,,23,0,5,5
933,933,,14,6,12,18
934,934,,3,1,1,2
935,935,,3,98,79,177
936,936,,23,3,1,4
937,937,,23,7,8,15
938,938,,23,2,1,3
939,939,,8,107,27,134
940,940,,8,9,27,36
941,941,,31,8,31,39
942,942,,23,8,10,18
943,943,,127,10,16,26
944,944,,43,22,28,50
945,945,,8,10,42,52
946,946,,0,2,5,7
947,947,,0,299,153,452
948,948,,14,207,145,352
949,949,,14,37,50,87
950,950,,43,14,81,95
951,951,,43,282,509,791
952,952,,43,125,238,363
953,953,,43,6,6,12
954,954,,43,18,29,47
955,955,,43,16,59,75
956,956,,45,76,54,130
957,957,,43,32,72,104
958,958,,43,164,259,423
959,959,,43,437,217,654
960,960,,43,112,121,233
961,961,,43,48,42,90
962,962,,43,508,378,886
963,963,,43,41,61,102
964,964,,43,96,232,328
965,965,,43,2,5,7
966,966,,43,23,25,48
967,967,,43,65,50,115
968,968,,43,29,18,47
969,969,,23,1,0,1
970,970,,23,86,39,125
971,971,,23,12,214,226
972,972,,23,152,196,348
973,973,,0,0,1,1
974,974,,0,5,4,9
975,975,,0,7,35,42
976,976,,0,156,71,227
977,977,,0,617,346,963
978,978,,0,11,22,33
979,979,,0,216,149,365
980,980,,0,9,4,13
981,981,,21,0,6,6
982,982,,21,16,19,35
983,983,,0,2,6,8
984,984,,0,5,5,10
985,985,,0,80,77,157
986,986,,127,79,76,155
987,987,,14,25,43,68
988,988,,21,105,52,157
989,989,,21,170,84,254
990,990,,105,23,9,32
991,991,,5,27,3,30
992,992,,8,4,14,18
993,993,,14,9,13,22
994,994,,14,3,1,4
995,995,,14,2,2,4
996,996,,88,7,1,8
997,997,,14,12,11,23
998,998,,21,34,34,68
999,999,,21,79,84,163
1000,1000,,3,119,157,276
1001,1001,,3,10,11,21
1002,1002,,52,12,24,36
1003,1003,,52,133,26,159
1004,1004,,21,10,2,12
1005,1005,,8,24,47,71
1006,1006,,8,4,0,4
1007,1007,,5,9,17,26
1008,1008,,23,0,1,1
1009,1009,,23,60,122,182
1010,1010,,127,1,11,12
1011,1011,,127,6,4,10
1012,1012,,127,14,15,29
1013,1013,,88,235,271,506
1014,1014,,88,1,6,7
1015,1015,,88,26,72,98
1016,1016,,88,45,61,106
1017,1017,,43,13,81,94
1018,1018,,43,226,386,612
1019,1019,,23,386,161,547
1020,1020,,43,330,123,453
1021,1021,,43,23,14,37
1022,1022,,43,32,104,136
1023,1023,,3,0,1,1
1024,1024,,3,25,9,34
1025,1025,,43,109,105,214
1026,1026,,21,68,42,110
1027,1027,,14,20,26,46
1028,1028,,14,2,13,15
1029,1029,,14,6,2,8
1030,1030,,11,8,37,45
1031,1031,,11,7,1,8
1032,1032,,43,20,21,41
1033,1033,,14,25,40,65
1034,1034,,43,5,1,6
1035,1035,,43,14,31,45
1036,1036,,43,213,236,449
1037,1037,,43,64,85,149
1038,1038,,43,0,1,1
1039,1039,,43,10,24,34
1040,1040,,43,5,34,39
1041,1041,,43,34,78,112
1042,1042,,43,12,35,47
1043,1043,,43,89,191,280
1044,1044,,43,29,58,87
1045,1045,,43,10,44,54
1046,1046,,23,40,63,103
1047,1047,,127,9,13,22
1048,1048,,127,1,2,3
1049,1049,,31,49,17,66
1050,1050,,3,5,26,31
